FID;STATE;CWA;COUNTYNAME;FIPS;TIME_ZONE;FE_AREA;LON;LAT
0;ME;CAR;Washington;23029;E;se;-67.636099999999999;45.036299999999997
1;GA;CHS;McIntosh;13191;E;se;-81.264600000000002;31.532900000000001
2;GA;CHS;Liberty;13179;E;se;-81.210300000000004;31.709299999999999
3;AS;PPG;Swains Island;60040;S; ;-171.045899999999989;-11.084300000000001
4;AS;PPG;Manu a;60020;S; ;-169.506000000000000;-14.221900000000000
5;AS;PPG;Western;60050;S; ;-170.769100000000009;-14.324100000000000
6;AS;PPG;Eastern;60010;S; ;-170.659600000000012;-14.276300000000001
7;PR;SJU;Anasco;72011;V; ;-67.122100000000003;18.286999999999999
8;PR;SJU;Arroyo;72015;V; ;-66.056299999999993;17.998200000000001
9;PR;SJU;Barceloneta;72017;V; ;-66.560500000000005;18.445399999999999
10;PR;SJU;Barranquitas;72019;V; ;-66.309899999999999;18.201699999999999
11;PR;SJU;Bayamon;72021;V; ;-66.168400000000005;18.349699999999999
12;PR;SJU;Caguas;72025;V; ;-66.050799999999995;18.211900000000000
13;PR;SJU;Canovanas;72029;V; ;-65.887900000000002;18.328800000000001
14;PR;SJU;Cayey;72035;V; ;-66.149500000000003;18.102900000000002
15;PR;SJU;Ceiba;72037;V; ;-65.667800000000000;18.252600000000001
16;PR;SJU;Ciales;72039;V; ;-66.516400000000004;18.288900000000002
17;PR;SJU;Cidra;72041;V; ;-66.161100000000005;18.173700000000000
18;PR;SJU;Coamo;72043;V; ;-66.360100000000003;18.097200000000001
19;PR;SJU;Comerio;72045;V; ;-66.221900000000005;18.224799999999998
20;PR;SJU;Corozal;72047;V; ;-66.327900000000000;18.304300000000001
21;PR;SJU;Florida;72054;V; ;-66.560100000000006;18.373500000000000
22;PR;SJU;Guanica;72055;V; ;-66.919799999999995;17.982700000000001
23;PR;SJU;Guayama;72057;V; ;-66.133600000000001;18.007700000000000
24;PR;SJU;Guayanilla;72059;V; ;-66.791600000000003;18.040600000000001
25;PR;SJU;Guaynabo;72061;V; ;-66.114500000000007;18.344200000000001
26;PR;SJU;Gurabo;72063;V; ;-65.979100000000003;18.266300000000001
27;PR;SJU;Hatillo;72065;V; ;-66.796400000000006;18.410599999999999
28;PR;SJU;Hormigueros;72067;V; ;-67.114000000000004;18.134100000000000
29;PR;SJU;Mayaguez;72097;V; ;-67.337000000000003;18.171600000000002
30;PR;SJU;Naguabo;72103;V; ;-65.754199999999997;18.230599999999999
31;PR;SJU;Jayuya;72073;V; ;-66.588499999999996;18.210599999999999
32;PR;SJU;Juana Diaz;72075;V; ;-66.495099999999994;18.050699999999999
33;PR;SJU;Juncos;72077;V; ;-65.908900000000003;18.223600000000001
34;PR;SJU;Lajas;72079;V; ;-67.040400000000005;18.012300000000000
35;PR;SJU;Lares;72081;V; ;-66.866900000000001;18.268899999999999
36;PR;SJU;Las Piedras;72085;V; ;-65.869299999999996;18.187600000000000
37;PR;SJU;Manati;72091;V; ;-66.490200000000002;18.420400000000001
38;PR;SJU;Maricao;72093;V; ;-66.942400000000006;18.172100000000000
39;PR;SJU;Maunabo;72095;V; ;-65.921899999999994;18.018000000000001
40;PR;SJU;Moca;72099;V; ;-67.080799999999996;18.377900000000000
41;PR;SJU;Morovis;72101;V; ;-66.420199999999994;18.317100000000000
42;PR;SJU;Naranjito;72105;V; ;-66.252600000000001;18.288399999999999
43;PR;SJU;Orocovis;72107;V; ;-66.433899999999994;18.214900000000000
44;PR;SJU;Patillas;72109;V; ;-66.012200000000007;18.031700000000001
45;PR;SJU;Penuelas;72111;V; ;-66.721100000000007;18.060800000000000
46;PR;SJU;Ponce;72113;V; ;-66.614099999999993;18.059699999999999
47;PR;SJU;Sabana Grande;72121;V; ;-66.943500000000000;18.082999999999998
48;PR;SJU;Salinas;72123;V; ;-66.256399999999999;18.011500000000002
49;PR;SJU;San German;72125;V; ;-67.038499999999999;18.111100000000000
50;PR;SJU;San Juan;72127;V; ;-66.060699999999997;18.386399999999998
51;PR;SJU;San Lorenzo;72129;V; ;-65.976399999999998;18.148000000000000
52;PR;SJU;Santa Isabel;72133;V; ;-66.388900000000007;17.995000000000001
53;PR;SJU;Trujillo Alto;72139;V; ;-65.999200000000002;18.336200000000002
54;PR;SJU;Utuado;72141;V; ;-66.702399999999997;18.271000000000001
55;PR;SJU;Vega Alta;72143;V; ;-66.337199999999996;18.409300000000002
56;PR;SJU;Villalba;72149;V; ;-66.472899999999996;18.128000000000000
57;PR;SJU;Yabucoa;72151;V; ;-65.896500000000003;18.070599999999999
58;PR;SJU;Yauco;72153;V; ;-66.858599999999996;18.080100000000002
59;PR;SJU;San Sebastian;72131;V; ;-66.971199999999996;18.328800000000001
60;PR;SJU;Adjuntas;72001;V; ;-66.754199999999997;18.179800000000000
61;PR;SJU;Aguas Buenas;72007;V; ;-66.126800000000003;18.251700000000000
